Building,Room,Day,Start Time,End Time
Harper Mem Library,141,Fri,11:30 AM,01:20 PM
Harper Mem Library,141,Fri,11:30 AM,01:20 PM
TBA,TBA,Wed,09:30 AM,12:20 PM
TBA,TBA,TBA,TBA,TBA
Harper Mem Library,151,Thu,03:30 PM,04:50 PM
TBA,TBA,TBA,TBA,TBA
Harper Mem Library,141,Wed,01:30 PM,02:50 PM
TBA,TBA,Wed,09:30 AM,12:20 PM
TBA,TBA,TBA,TBA,TBA
Harper Mem Library,151,Thu,03:30 PM,04:50 PM
Swift Hall,208,Wed,03:00 PM,04:20 PM
Harper Mem Library,151,Thu,12:30 PM,01:50 PM
TBA,TBA,TBA,TBA,TBA
Kersten Phys Teach Center,309,Thu,05:30 PM,07:30 PM
Cochrane-Woods Art Ctr,156,Thu,11:00 AM,12:20 PM
Cochrane-Woods Art Ctr,152,Thu,02:00 PM,03:20 PM
Wieboldt Hall,408,Thu,11:00 AM,12:20 PM
Cobb Hall,302,Tue,03:30 PM,04:50 PM
Crerar Library,134,Wed,03:00 PM,04:20 PM
Cochrane-Woods Art Ctr,157,Wed,03:00 PM,04:20 PM
Crerar Library,134,Fri,12:30 PM,04:50 PM
Cobb Hall,219,Thu,03:30 PM,04:50 PM
TBA,TBA,Wed,12:30 PM,03:20 PM
Cochrane-Woods Art Ctr,156,Thu,12:30 PM,03:20 PM
Social Sciences Rsch Bldg,122,Thu,12:30 PM,01:50 PM
The Keller Center,1022,Mon,04:30 PM,07:20 PM
Cobb Hall,430,Wed,12:30 PM,01:20 PM
Cobb Hall,430,Wed,12:30 PM,01:20 PM
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
Cochrane-Woods Art Ctr,156,Thu,11:00 AM,12:20 PM
Cochrane-Woods Art Ctr,152,Thu,02:00 PM,03:20 PM
Cochrane-Woods Art Ctr,157,Thu,09:30 AM,10:50 AM
Logan Center,201,Thu,09:30 AM,10:50 AM
Cochrane-Woods Art Ctr,157,Thu,11:00 AM,12:20 PM
TBA,TBA,TBA,TBA,TBA
Cochrane-Woods Art Ctr,153,Thu,05:00 PM,06:20 PM
Rosenwald Hall,405,Wed,04:30 PM,05:50 PM
Crerar Library,134,Wed,03:00 PM,04:20 PM
Cochrane-Woods Art Ctr,152,Thu,12:30 PM,01:50 PM
Cochrane-Woods Art Ctr,152,Wed,03:00 PM,04:20 PM
Cochrane-Woods Art Ctr,153,Tue,09:30 AM,12:20 PM
Cochrane-Woods Art Ctr,152,Fri,01:00 PM,04:00 PM
Cochrane-Woods Art Ctr,157,Wed,03:00 PM,04:20 PM
Crerar Library,134,Fri,12:30 PM,04:50 PM
Cochrane-Woods Art Ctr,153,Thu,02:00 PM,04:50 PM
Cochrane-Woods Art Ctr,152,Wed,01:30 PM,02:50 PM
Cochrane-Woods Art Ctr,156,Thu,12:30 PM,03:20 PM
Cochrane-Woods Art Ctr,156,Wed,01:30 PM,04:20 PM
TBA,TBA,TBA,TBA,TBA
Campus North Res Commons,158,Tue,02:00 PM,04:50 PM
Cochrane-Woods Art Ctr,152,Thu,11:00 AM,12:20 PM
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
Rosenwald Hall,405,Wed,04:30 PM,05:50 PM
Cochrane-Woods Art Ctr,152,Thu,12:30 PM,01:50 PM
Cochrane-Woods Art Ctr,152,Wed,03:00 PM,04:20 PM
Cochrane-Woods Art Ctr,153,Tue,09:30 AM,12:20 PM
Cochrane-Woods Art Ctr,153,Thu,02:00 PM,04:50 PM
TBA,TBA,TBA,TBA,TBA
Cochrane-Woods Art Ctr,156,Thu,12:30 PM,03:20 PM
Cochrane-Woods Art Ctr,156,Wed,01:30 PM,04:20 PM
TBA,TBA,TBA,TBA,TBA
Campus North Res Commons,158,Tue,02:00 PM,04:50 PM
Logan Center,802,Fri,10:30 AM,01:20 PM
Cochrane-Woods Art Ctr,156,Tue,03:30 PM,06:20 PM
Cochrane-Woods Art Ctr,156,Thu,03:30 PM,06:20 PM
Wieboldt Hall,102,Fri,12:30 PM,03:20 PM
TBA,TBA,TBA,TBA,TBA
Cochrane-Woods Art Ctr,156,Wed,08:30 AM,01:20 PM
Hinds Lab Geo Sci,101,Thu,11:00 AM,12:20 PM
TBA,TBA,TBA,TBA,TBA
Hinds Lab Geo Sci,101,Fri,10:30 AM,11:20 AM
TBA,TBA,TBA,TBA,TBA
Hinds Lab Geo Sci,101,Thu,09:30 AM,10:50 AM
Kersten Phys Teach Center,105,Fri,01:30 PM,02:50 PM
Kersten Phys Teach Center,309,Thu,09:30 AM,10:50 AM
TBA,TBA,TBA,TBA,TBA
Kent Chem Lab,120,Thu,09:30 AM,10:50 AM
Kersten ,55,Tue,02:00 PM,04:50 PM
Hinds Lab Geo Sci,180,Thu,09:30 AM,10:50 AM
William Eckhardt Rsch Ctr,583,Thu,02:00 PM,03:20 PM
Kersten Phys Teach Center,101,Thu,02:00 PM,03:20 PM
Kersten Phys Teach Center,101,Thu,09:30 AM,10:50 AM
Kersten Phys Teach Center,309,Thu,11:00 AM,12:20 PM
William Eckhardt Rsch Ctr,545,Mon,01:30 PM,04:20 PM
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
Kersten Phys Teach Center,309,Wed,01:30 PM,02:50 PM
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
William Eckhardt Rsch Ctr,517,Fri,01:30 PM,02:50 PM
William Eckhardt Rsch Ctr,545,Thu,02:00 PM,03:20 PM
Kersten ,55,Tue,02:00 PM,04:50 PM
Hinds Lab Geo Sci,180,Thu,09:30 AM,10:50 AM
William Eckhardt Rsch Ctr,583,Thu,02:00 PM,03:20 PM
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
William Eckhardt Rsch Ctr,583,Fri,10:00 AM,11:50 AM
Foster Hall,209,Fri,12:30 PM,01:20 PM
Foster Hall,209,Fri,12:30 PM,01:20 PM
Foster Hall,408,Thu,02:00 PM,03:20 PM
Foster Hall,408,Thu,02:00 PM,03:20 PM
Foster Hall,209,Thu,03:30 PM,04:50 PM
Foster Hall,209,Thu,03:30 PM,04:50 PM
TBA,TBA,TBA,TBA,TBA
Foster Hall,209,Fri,02:30 PM,03:20 PM
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
Cobb Hall,425,Fri,11:30 AM,12:20 PM
Cobb Hall,425,Fri,11:30 AM,12:20 PM
Wieboldt Hall,230,Thu,09:30 AM,12:20 PM
TBA,TBA,TBA,TBA,TBA
Wieboldt Hall,230,Thu,09:30 AM,12:20 PM
Saieh Hall for Economics,242,Wed,01:30 PM,02:50 PM
Classics Building ,21,Wed,01:30 PM,02:50 PM
Swift Hall,403,Tue,05:00 PM,07:50 PM
TBA,TBA,Thu,09:30 AM,10:50 AM
Swift Hall,208,Thu,02:00 PM,03:20 PM
TBA,TBA,TBA,TBA,TBA
TBA,TBA,Mon,11:30 AM,02:20 PM
Cobb Hall,205,Thu,02:00 PM,04:50 PM
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
BioSci Learning Center,240,Thu,03:30 PM,04:50 PM
BioSci Learning Center,305,Thu,11:00 AM,12:20 PM
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
BioSci Learning Center,205,Fri,12:30 PM,01:20 PM
BioSci Learning Center,324,Fri,08:30 AM,09:20 AM
BioSci Learning Center,324,Fri,10:30 AM,11:20 AM
BioSci Learning Center,324,Fri,12:30 PM,01:20 PM
TBA,TBA,TBA,TBA,TBA
BioSci Learning Center,318,Fri,10:30 AM,12:20 PM
BioSci Learning Center,318,Fri,02:30 PM,04:20 PM
BioSci Learning Center,210,Thu,09:30 AM,12:20 PM
BioSci Learning Center,210,Thu,02:00 PM,04:50 PM
BioSci Learning Center,318,Thu,09:30 AM,12:20 PM
BioSci Learning Center,318,Thu,02:00 PM,04:50 PM
TBA,TBA,TBA,TBA,TBA
BioSci Learning Center 0,1,Fri,10:30 AM,11:20 AM
TBA,TBA,TBA,TBA,TBA
BioSci Learning Center,109,Wed,01:30 PM,02:50 PM
BioSci Learning Center,109,Wed,01:30 PM,02:50 PM
Harper Mem Library,140,Thu,02:00 PM,03:20 PM
BioSci Learning Center 0,8,Thu,11:00 AM,12:20 PM
BioSci Learning Center 0,1,Thu,03:30 PM,04:50 PM
BioSci Learning Center,109,Thu,09:30 AM,10:50 AM
TBA,TBA,TBA,TBA,TBA
BioSci Learning Center 0,1,Tue,05:00 PM,06:20 PM
BioSci Learning Center 0,1,Fri,12:30 PM,01:20 PM
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
BioSci Learning Center,240,Thu,12:30 PM,01:50 PM
TBA,TBA,TBA,TBA,TBA
BioSci Learning Center,240,Thu,03:30 PM,04:50 PM
BioSci Learning Center,313,Thu,09:30 AM,10:50 AM
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
BioSci Learning Center,313,Thu,11:00 AM,12:20 PM
BioSci Learning Center,218,Wed,01:30 PM,02:50 PM
TBA,TBA,TBA,TBA,TBA
BioSci Learning Center,401,Thu,09:30 AM,10:50 AM
BioSci Learning Center,109,Wed,01:30 PM,02:50 PM
BioSci Learning Center,109,Wed,01:30 PM,02:50 PM
BioSci Learning Center,218,Thu,11:00 AM,12:20 PM
BioSci Learning Center,305,Thu,09:30 AM,10:50 AM
BioSci Learning Center,324,Thu,09:30 AM,10:50 AM
BioSci Learning Center,324,Wed,04:30 PM,05:50 PM
Cummings Life Sci Center,101,Thu,02:00 PM,03:20 PM
BioSci Learning Center,202,Thu,05:00 PM,06:20 PM
BioSci Learning Center,205,Thu,11:00 AM,12:20 PM
BioSci Learning Center,218,Thu,12:30 PM,01:50 PM
BioSci Learning Center,324,Thu,03:30 PM,04:50 PM
TBA,TBA,TBA,TBA,TBA
BioSci Learning Center,401,Wed,01:30 PM,02:50 PM
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
BioSci Learning Center 0,8,Fri,12:30 PM,01:20 PM
BioSci Learning Center,205,Wed,01:30 PM,02:50 PM
BioSci Learning Center,240,Thu,05:00 PM,06:20 PM
BioSci Learning Center 0,1,Fri,01:30 PM,02:50 PM
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
BioSci Learning Center,240,Wed,05:30 PM,08:30 PM
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
Swift Hall,106,Mon,09:30 AM,12:20 PM
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,Wed,06:30 PM,07:20 PM
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
BioSci Learning Center,240,Thu,03:30 PM,04:50 PM
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
Foster Hall,408,Fri,10:30 AM,11:20 AM
Foster Hall,408,Fri,10:30 AM,11:20 AM
Foster Hall,408,Fri,11:30 AM,02:30 PM
Foster Hall,408,Fri,11:30 AM,02:30 PM
Stuart Hall,101,Tue,12:30 PM,03:20 PM
Stuart Hall,101,Tue,03:30 PM,06:20 PM
Stuart Hall,101,Wed,12:30 PM,03:20 PM
Stuart Hall,101,Wed,03:30 PM,06:20 PM
 S. University Ave. 11,5727,Thu,09:30 AM,10:50 AM
Saieh Hall for Economics,203,Thu,03:30 PM,04:50 PM
Stuart Hall,101,Thu,02:00 PM,04:50 PM
Rosenwald Hall ,15,Thu,09:30 AM,10:50 AM
Rosenwald Hall ,15,Thu,11:00 AM,12:20 PM
Saieh Hall for Economics ,21,Wed,09:00 AM,10:20 AM
 S. University Ave. 11,5727,Wed,01:30 PM,02:50 PM
 S. University Ave. 11,5727,Wed,03:00 PM,04:20 PM
TBA,TBA,Mon,01:30 PM,04:20 PM
TBA,TBA,Mon,05:30 PM,08:20 PM
TBA,TBA,Thu,05:00 PM,08:00 PM
Stuart Hall,101,Mon,01:30 PM,04:20 PM
Saieh Hall for Economics ,21,Tue,12:30 PM,03:20 PM
TBA,TBA,Tue,01:30 PM,04:30 PM
Gleacher Center,306,Tue,06:00 PM,09:00 PM
Gleacher Center,306,Sat,01:30 PM,04:30 PM
TBA,TBA,Fri,08:30 AM,11:30 AM
Gleacher Center,206,Sat,01:30 PM,04:30 PM
TBA,TBA,Tue,08:30 AM,11:30 AM
TBA,TBA,Tue,01:30 PM,04:30 PM
Gleacher Center,308,Sat,09:00 AM,12:00 PM
TBA,TBA,Fri,01:30 PM,04:30 PM
Gleacher Center,204,Sat,01:30 PM,04:30 PM
TBA,TBA,Tue,01:30 PM,04:30 PM
TBA,TBA,Wed,01:30 PM,04:30 PM
Gleacher Center,200,Tue,06:00 PM,09:00 PM
TBA,TBA,Fri,08:30 AM,11:30 AM
Gleacher Center,204,Fri,06:00 PM,09:00 PM
Gleacher Center,304,Tue,06:00 PM,09:00 PM
TBA,TBA,TBA,TBA,TBA
TBA,TBA,Tue,08:30 AM,11:30 AM
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
Charles M. Harper Center,225,Mon,01:30 PM,04:30 PM
Charles M. Harper Center,225,Tue,08:30 AM,11:30 AM
Charles M. Harper Center,219,Mon,01:30 PM,04:30 PM
Charles M. Harper Center,225,Wed,08:30 AM,11:30 AM
Booth  NBC Towers 14,455,Wed,02:00 PM,05:00 PM
Gleacher Center,422,Mon,06:00 PM,09:00 PM
TBA,TBA,Thu,06:00 PM,09:00 PM
Gleacher Center,422,Tue,06:00 PM,09:00 PM
TBA,TBA,Tue,06:00 PM,09:00 PM
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
Charles M. Harper Center,225,Thu,01:30 PM,04:30 PM
TBA,TBA,Mon,08:30 AM,11:30 AM
TBA,TBA,Fri,12:00 PM,04:30 PM
TBA,TBA,TBA,TBA,TBA
TBA,TBA,Thu,08:30 AM,11:30 AM
TBA,TBA,Thu,01:30 PM,04:30 PM
Gleacher Center,304,Wed,06:00 PM,09:00 PM
Gleacher Center,304,Sat,01:30 PM,04:30 PM
TBA,TBA,Fri,08:30 AM,11:30 AM
Gleacher Center,406,Thu,06:00 PM,09:00 PM
Gleacher Center,406,Sat,09:00 AM,12:00 PM
TBA,TBA,Mon,01:30 PM,04:30 PM
TBA,TBA,Tue,01:30 PM,04:30 PM
TBA,TBA,Tue,06:00 PM,07:30 PM
Charles M. Harper Center,219,Tue,10:00 AM,11:30 AM
Charles M. Harper Center,223,Tue,10:00 AM,11:30 AM
Charles M. Harper Center,223,Tue,01:30 PM,03:00 PM
TBA,TBA,Tue,01:30 PM,03:00 PM
Charles M. Harper Center,223,Tue,04:00 PM,05:30 PM
TBA,TBA,Tue,04:00 PM,05:30 PM
Charles M. Harper Center,219,Tue,08:00 PM,09:30 PM
TBA,TBA,Tue,08:00 PM,09:30 PM
Charles M. Harper Center,219,Wed,10:00 AM,11:30 AM
Charles M. Harper Center,223,Wed,10:00 AM,11:30 AM
Charles M. Harper Center,223,Wed,03:00 PM,04:30 PM
Charles M. Harper Center,223,Thu,10:00 AM,11:30 AM
TBA,TBA,Thu,10:00 AM,11:30 AM
TBA,TBA,Thu,01:30 PM,03:00 PM
TBA,TBA,Thu,01:30 PM,03:00 PM
Gleacher Center,203,Wed,06:00 PM,07:30 PM
TBA,TBA,Wed,06:00 PM,07:30 PM
TBA,TBA,Thu,06:00 PM,07:30 PM
TBA,TBA,Thu,01:30 PM,04:30 PM
Gleacher Center,404,Thu,06:00 PM,09:00 PM
Gleacher Center,404,Sat,09:00 AM,12:00 PM
TBA,TBA,Tue,01:30 PM,04:30 PM
TBA,TBA,Wed,01:30 PM,04:30 PM
Gleacher Center,300,Tue,06:00 PM,09:00 PM
Gleacher Center,408,Thu,06:00 PM,09:00 PM
Gleacher Center,408,Sat,01:30 PM,04:30 PM
TBA,TBA,Thu,01:30 PM,04:30 PM
Gleacher Center,208,Sat,01:30 PM,04:30 PM
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,Mon,11:45 AM,01:15 PM
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,Mon,01:30 PM,04:30 PM
TBA,TBA,Mon,06:00 PM,09:00 PM
TBA,TBA,Thu,01:30 PM,04:30 PM
TBA,TBA,Wed,01:30 PM,04:30 PM
